,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,3.041355833856864,4.047296745372854,1.005940911515991,3.02339410132895
eeg.f7,2.239634468708141,3.1001258386520227,0.8604913699438821,2.6027390127332275
eeg.f3,1.0110325120980193,1.469308891878149,0.45827637978012964,2.2061632480810642
eeg.fc5,1.8034844761453637,2.7704925984332265,0.9670081222878627,1.8650148011490038
eeg.t7,1.1236236848637629,1.7735881131906375,0.6499644283268745,1.728746411957937
eeg.p7,0.5741611879170055,1.0427673558233346,0.4686061679063291,1.2252531572055332
eeg.o1,0.604935095849064,1.055214135244561,0.4502790393954969,1.3434671320435174
eeg.o2,0.7113091543155616,1.2218263201266983,0.5105171658111366,1.3933109319519636
eeg.p8,0.5241880458226074,0.9678156831514753,0.44362763732886795,1.1815946516576556
eeg.t8,0.575219898924515,1.028442898184031,0.4532229992595161,1.2691763127359919
eeg.fc6,1.6806738518580542,2.4444680261900933,0.763794174332039,2.2004276853894913
eeg.f4,2.046403110767836,2.871094524456661,0.8246914136888251,2.4814167699599428
eeg.f8,1.8732265296080253,2.677800213978475,0.8045736843704498,2.328222461383575
eeg.af4,4.042544175430388,5.308554280187205,1.2660101047568169,3.1931373588868337
