,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
eeg.af3,5.062749450051518,4.2357833818428405,6.257982771782423,1.1952333217309052
eeg.f7,6.03452195344523,5.51747507594394,7.128232728100909,1.0937107746556796
eeg.f3,3.6089179799736955,3.1085147550620675,4.769896213803038,1.160978233829342
eeg.fc5,3.3291251593853595,3.9360901048217496,4.1749201133566185,0.8457949539712588
eeg.t7,6.394804826038057,3.743638418017408,8.102983902364468,1.708179076326411
eeg.p7,4.102515705425125,3.4249426421106084,5.300350568637571,1.197834863212446
eeg.o1,4.48730269833064,3.720551979643145,5.693387900178808,1.2060852018481678
eeg.o2,5.043676669960071,4.166691290390254,6.254151915194478,1.210475245234407
eeg.p8,3.4095664792198876,3.4724633261058644,4.391453443582961,0.981886964363073
eeg.t8,6.529018446388799,3.725031912321905,8.281760057366332,1.7527416109775342
eeg.fc6,3.8253723785175393,3.8055365635224456,4.8305847344808415,1.005212355963302
eeg.f4,4.509160822083909,3.674297684347704,5.736377883075769,1.2272170609918598
eeg.f8,7.375245044769311,4.896014548620014,8.881622315604549,1.5063772708352376
eeg.af4,5.596515814088904,4.281864701610141,6.903543518460506,1.307027704371602
