,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,10.633634338291133,12.019171964862794,1.3855376265716615,7.674735132507496
eeg.f7,11.208004201572317,12.51510841696002,1.307104215387702,8.57468290714406
eeg.f3,9.205294502874427,10.336976520938332,1.1316820180639047,8.134170490623134
eeg.fc5,4.598081453680872,5.686436034360589,1.0883545806797177,4.224800887277172
eeg.t7,12.128967392842211,13.782935388703077,1.6539679958608653,7.333253953290682
eeg.p7,3.622436879651735,4.60233089460609,0.9798940149543548,3.6967639508412136
eeg.o1,15.751808284809956,17.323405936188887,1.5715976513789338,10.022799540832072
eeg.o2,17.928584228256835,19.55129046892907,1.6227062406722372,11.048570387284483
eeg.p8,10.188211441004105,11.65083360297333,1.4626221619692248,6.965716548076252
eeg.t8,15.273527047567047,16.868953806722242,1.5954267591551972,9.573317540418776
eeg.fc6,5.871993253532674,7.050297112604584,1.1783038590719108,4.9834285998922105
eeg.f4,10.270902943087496,11.60994443452476,1.3390414914372635,7.670339508535983
eeg.f8,8.161213336227332,9.537859459961021,1.3766461237336896,5.928330518650623
eeg.af4,11.933126663309267,13.392303865697984,1.4591772023887186,8.177983191882443
