,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,6.366003605326975,7.417850048740329,1.0518464434133539,6.052217627490807
eeg.f7,6.818085263942403,7.855982368138429,1.037897104196026,6.569134075854161
eeg.f3,1.9335509264471549,2.6747876942428004,0.7412367677956456,2.6085469629230347
eeg.fc5,1.8614987759241273,2.541211645804954,0.679712869880827,2.7386545770960624
eeg.t7,3.525955532939187,4.579957618118353,1.0540020851791658,3.3453022028719865
eeg.p7,3.5110192404132627,4.593600233256903,1.0825809928436403,3.243193109045294
eeg.o1,3.88298855951015,5.275059341938519,1.392070782428369,2.7893614193559984
eeg.o2,3.2264201158333545,4.625639744423998,1.3992196285906429,2.3058710942201
eeg.p8,2.83677015762753,3.910018320704258,1.0732481630767279,2.6431632959714553
eeg.t8,3.0684608529940034,4.019572785640864,0.9511119326468599,3.2261826615439757
eeg.fc6,1.6586880607881704,2.348361469602976,0.6896734088148059,2.405034080683519
eeg.f4,1.6013094865196866,2.3351605041903136,0.7338510176706271,2.18206344153812
eeg.f8,4.661409621627071,5.517003482268812,0.8555938606417425,5.448156909489896
eeg.af4,3.816571413703736,4.575188276767271,0.7586168630635354,5.030960401960434
